#"Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
2.0000000000000013,5082.103088378906,259.7393045834657
3.999999999999781,5154.0919189453125,278.91040036302
5.999999999999561,5175.257965087891,290.09526251184366
7.999999999999341,5183.396820068359,314.9453312632174
10.000000000000009,5202.717803955078,287.8590640061693
12.000000000000677,5164.642486572266,290.2161283944581
14.000000000001345,5167.807312011719,291.85460280255194
16.00000000000201,5145.242858886719,307.2114904401205
18.000000000000902,5121.5413818359375,304.59904295988207
19.999999999999794,5097.1180419921875,335.39321007902004
21.999999999998685,5119.028656005859,282.2468372435173
23.999999999997577,5179.387725830078,292.56020894775054
25.99999999999647,5205.504943847656,303.21723072887113
27.99999999999536,5130.986480712891,282.69711892012344
29.99999999999425,5126.3262939453125,308.0145117772921
31.999999999993143,5093.46240234375,309.03426117621154
33.99999999999559,5084.509246826172,304.2580789731535
35.99999999999803,5106.3897705078125,323.58779105311737
38.000000000000476,5002.193664550781,314.9389494313475
40.00000000000292,5007.351318359375,311.95165938654185
42.000000000005365,4948.825256347656,297.62342487758235
44.00000000000781,4992.672149658203,295.2870008348809
46.00000000001025,4916.922119140625,300.99796519556736
48.0000000000127,4917.288909912109,282.17722410053324
50.00000000001514,4919.322784423828,290.22413617343733
52.000000000017586,4974.789001464844,288.9324536917148
54.00000000002003,4828.9752197265625,294.25484386840196
56.000000000022474,4849.685974121094,308.8420076348144
58.00000000002492,4965.069366455078,303.8525230522919
60.00000000002736,4846.228088378906,283.51163896605334
62.00000000002981,4847.216796875,310.46807187713614
64.00000000003224,4903.371276855469,314.62273329053556
66.00000000002758,4777.76416015625,290.2087223802474
68.00000000002292,4920.410583496094,288.5424683179318
70.00000000001826,4811.264831542969,284.28280580887014
72.0000000000136,4816.447204589844,325.8094421616435
74.00000000000894,4809.107177734375,307.79154415537255
76.00000000000428,4813.851135253906,297.9392117319161
77.99999999999962,4839.303039550781,304.2597078871088
79.99999999999496,4875.8131103515625,283.25637256431247
81.9999999999903,4867.286376953125,307.0211155925354
83.99999999998563,4752.930603027344,322.7633512406485
85.99999999998097,4789.854675292969,302.7038460267131
87.99999999997631,4803.105773925781,302.3538566773185
89.99999999997165,4637.215637207031,313.4867089440062
91.99999999996699,4682.465759277344,290.4031635360612
93.99999999996233,4725.343566894531,300.062844238482
95.99999999995767,4754.8013916015625,312.2143394910455
97.999999999953,4747.665466308594,330.54348177042544
99.99999999994834,4702.603210449219,285.1674998590765
101.99999999994368,4682.924560546875,288.6386728080207
103.99999999993902,4762.144287109375,311.7554311002042
105.99999999993436,4707.626647949219,298.63945017788404
107.9999999999297,4737.728210449219,327.04688440669025
109.99999999992504,4758.3243408203125,291.6399528877348
111.99999999992038,4695.5489501953125,322.8799975127856
113.99999999991572,4771.530334472656,318.42194862681987
115.99999999991105,4729.9488525390625,304.1845500878874
117.9999999999064,4649.460754394531,306.026569261317
119.99999999990173,4721.738830566406,319.87236945086244
121.99999999989707,4614.8636474609375,303.0145795910264
123.99999999989241,4743.226104736328,286.51594713455097
125.99999999988775,4636.4945068359375,311.02880519510967
127.99999999988309,4634.98876953125,301.7736897406848
129.99999999989262,4785.69384765625,306.14598947567686
131.99999999990217,4677.2659912109375,269.4189775741899
133.99999999991172,4593.294677734375,330.5803049232402
135.99999999992127,4660.2305908203125,296.1715594891107
137.99999999993082,4654.013977050781,292.60591663880405
139.99999999994037,4741.0802001953125,280.5290180835504
141.99999999994992,4717.94580078125,286.7645509863367
143.99999999995947,4675.1661376953125,323.16788530061064
145.99999999996902,4674.32568359375,305.2726956486953
147.99999999997857,4598.763244628906,310.2987394455766
149.99999999998812,4683.712646484375,283.3892770202904
151.99999999999767,4620.3843994140625,286.39562797863226
154.00000000000722,4645.687683105469,335.2909008750456
156.00000000001677,4719.396789550781,310.922110245586
158.00000000002632,4672.728088378906,291.2701054183224
160.00000000003587,4650.987121582031,320.78255729714476
162.00000000004542,4725.868713378906,298.076412853392
164.00000000005497,4639.4024658203125,307.56470551314254
166.00000000006452,4672.963806152344,281.5453689670359
168.00000000007407,4743.0823974609375,285.2354254742304
170.00000000008362,4576.1080322265625,283.4584518020171
172.00000000009317,4605.4803466796875,301.55852068325254
174.00000000010272,4618.061950683594,326.6630347593999
176.00000000011227,4662.7767333984375,316.37804776103815
178.00000000012182,4608.054260253906,295.2541789176333
180.00000000013137,4695.49462890625,318.461175750961
182.00000000014091,4637.1363525390625,289.9812041477727
184.00000000015046,4663.9888916015625,299.5376894838481
186.00000000016001,4616.264404296875,290.13974518772994
188.00000000016956,4604.210205078125,305.5684359675549
